employee_id,department,role,database_name,days_to_expiry,total_rotations,successful_rotations,failed_rotations,reminders_ignored,avg_response_hours,login_frequency_per_week,password_strength_score,uses_mfa,breach_risk_score,caused_breach
EMP-0722,Infrastructure,Tech Lead,MySQL,132,3,2,1,2,20,17,10,1,0,0
EMP-0723,Data Science,Intern,Oracle,48,0,0,0,1,124,2,5,1,0,0
EMP-0724,Data Science,Analyst,Oracle,117,15,12,3,1,58,6,5,0,0,0
EMP-0725,Engineering,Developer,MongoDB,76,0,0,0,2,14,12,7,0,0,0
EMP-0726,HR,Junior Developer,MongoDB,101,0,0,0,0,34,35,5,0,0,0
EMP-0727,Security,Junior Developer,PostgreSQL,35,15,8,7,0,111,22,5,1,0,0
EMP-0728,Data Science,Intern,MongoDB,80,14,13,1,0,143,25,6,0,0,0
EMP-0729,QA,Analyst,CockroachDB,121,10,6,4,2,17,13,9,1,0,0
EMP-0730,HR,Junior Developer,MariaDB,48,11,7,4,0,109,24,2,0,2.17,0
EMP-0731,HR,Developer,Redis,-12,7,6,1,4,50,31,3,0,48.33,0
EMP-0732,Engineering,Senior Developer,CockroachDB,65,7,4,3,1,32,32,2,1,0,0
EMP-0733,Finance,Tech Lead,PostgreSQL,139,12,10,2,2,12,10,4,0,0,0
EMP-0734,Finance,Developer,MySQL,-38,6,3,3,9,49,4,9,1,100,1
EMP-0735,Security,Analyst,MariaDB,106,1,1,0,1,50,14,9,1,0,0
EMP-0736,Operations,Developer,SQL Server,-20,15,11,4,8,53,13,3,0,100,0
EMP-0737,Security,Junior Developer,PostgreSQL,31,4,4,0,1,123,16,6,0,0,0
EMP-0738,Engineering,Engineer,Oracle,-20,2,1,1,6,69,7,10,0,100,1
EMP-0739,Operations,Intern,MongoDB,134,0,0,0,0,83,33,9,1,0,0
EMP-0740,Operations,Manager,Redis,-18,12,10,2,4,28,10,9,0,24.67,0
EMP-0741,Data Science,Tech Lead,MariaDB,92,11,9,2,1,23,24,7,0,0,0
EMP-0742,Finance,Intern,SQL Server,90,1,1,0,1,122,37,7,1,0,0
EMP-0743,Finance,Analyst,Oracle,76,13,12,1,2,31,18,8,0,0,0
EMP-0744,Finance,Junior Developer,Oracle,27,1,1,0,1,168,5,3,0,18.0,0
EMP-0745,Security,Developer,Oracle,39,9,7,2,2,20,21,4,0,0,0
EMP-0746,Finance,Manager,SQL Server,132,6,6,0,0,25,7,8,1,0,0
EMP-0747,QA,Junior Developer,MariaDB,107,5,5,0,1,149,9,10,1,0,0
EMP-0748,QA,Tech Lead,SQL Server,-23,5,3,2,10,9,18,10,0,100,1
EMP-0749,HR,Engineer,Oracle,117,5,5,0,2,47,4,3,1,0,0
EMP-0750,Infrastructure,Tech Lead,MySQL,67,1,1,0,1,16,40,3,0,0,0
EMP-0751,Data Science,Analyst,Oracle,122,4,4,0,2,27,28,8,0,0,0
EMP-0752,Engineering,Intern,Redis,145,6,3,3,0,94,17,2,0,19.67,0
EMP-0753,Data Science,Intern,Oracle,86,0,0,0,0,53,10,9,1,0,0
EMP-0754,Infrastructure,Intern,Redis,93,13,7,6,1,69,12,2,0,29.5,0
EMP-0755,Finance,Manager,PostgreSQL,93,0,0,0,0,33,1,8,1,0,0
EMP-0756,QA,Senior Developer,SQL Server,77,12,6,6,2,7,23,2,1,12.17,0
EMP-0757,Finance,Intern,MongoDB,64,12,12,0,1,46,6,2,1,0,0
EMP-0758,HR,Developer,MongoDB,0,4,3,1,4,19,6,8,0,0,0
EMP-0759,Finance,Analyst,CockroachDB,120,13,7,6,1,17,36,3,0,16.83,0
EMP-0760,Operations,Tech Lead,MariaDB,150,4,3,1,2,10,16,7,0,0,0
EMP-0761,Engineering,Junior Developer,MongoDB,15,1,1,0,0,162,9,6,1,0,0
EMP-0762,Operations,Intern,PostgreSQL,84,3,2,1,2,149,19,5,1,0,0
EMP-0763,Infrastructure,Manager,MySQL,147,14,7,7,0,26,12,4,1,0,0
EMP-0764,QA,Senior Developer,MySQL,102,14,8,6,0,19,37,6,0,0,0
EMP-0765,Data Science,Tech Lead,MySQL,-7,7,5,2,5,19,28,9,0,29.17,0
EMP-0766,Engineering,Intern,MariaDB,93,8,5,3,2,159,40,3,1,5.5,0
EMP-0767,HR,Engineer,MongoDB,121,8,8,0,0,21,20,6,1,0,0
EMP-0768,HR,Developer,CockroachDB,-30,0,0,0,7,16,22,5,1,100,1
EMP-0769,Operations,Analyst,Oracle,1,2,1,1,3,51,16,10,0,2.5,0
EMP-0770,Finance,Manager,MongoDB,-40,0,0,0,12,17,9,8,1,100,1
EMP-0771,Finance,Analyst,PostgreSQL,141,11,11,0,2,55,31,6,0,0,0
EMP-0772,Data Science,Manager,Oracle,22,0,0,0,0,17,21,6,1,0,0
EMP-0773,HR,Senior Developer,MySQL,-8,13,12,1,4,29,28,4,1,0,0
EMP-0774,Data Science,Developer,MongoDB,28,3,3,0,0,58,6,3,1,0,0
EMP-0775,Data Science,Intern,Redis,-1,4,3,1,9,96,40,10,1,33.0,0
EMP-0776,QA,Manager,MariaDB,6,0,0,0,2,4,32,2,1,0,0
EMP-0777,Security,Analyst,SQL Server,149,9,6,3,2,39,22,4,0,0,0
EMP-0778,Finance,Manager,CockroachDB,-7,13,7,6,8,5,7,2,1,91.83,1
EMP-0779,Operations,Analyst,Oracle,110,13,12,1,2,23,22,8,1,0,0
EMP-0780,Security,Analyst,CockroachDB,-20,10,8,2,8,43,31,3,1,90.17,1
EMP-0781,Engineering,Engineer,MySQL,141,2,1,1,2,42,36,3,0,19.0,0
EMP-0782,Operations,Intern,Oracle,19,4,3,1,1,95,32,8,0,0,0
EMP-0783,Infrastructure,Tech Lead,Oracle,134,6,3,3,0,22,17,4,0,0,0
EMP-0784,Infrastructure,Senior Developer,Oracle,-39,15,15,0,6,36,17,7,0,74.0,1
EMP-0785,Finance,Senior Developer,Oracle,49,2,1,1,0,11,30,2,1,0,0
EMP-0786,HR,Analyst,MariaDB,56,15,11,4,2,59,20,8,0,0,0
EMP-0787,Operations,Engineer,MongoDB,22,11,11,0,2,26,36,8,1,0,0
EMP-0788,QA,Senior Developer,CockroachDB,69,15,11,4,2,31,11,3,1,0,0
EMP-0789,Engineering,Tech Lead,CockroachDB,14,1,1,0,2,9,21,9,0,0,0
EMP-0790,Engineering,Tech Lead,SQL Server,-35,0,0,0,7,10,16,5,1,100,1
EMP-0791,Infrastructure,Developer,CockroachDB,87,8,8,0,1,18,21,4,0,0,0
EMP-0792,QA,Manager,Oracle,133,12,12,0,2,7,25,9,0,0,0
EMP-0793,Infrastructure,Developer,PostgreSQL,-24,8,5,3,11,59,6,9,1,100,1
EMP-0794,Data Science,Senior Developer,MariaDB,116,9,8,1,0,31,16,4,1,0,0
EMP-0795,Security,Developer,MariaDB,101,14,7,7,0,36,18,9,0,0,0
EMP-0796,Data Science,Tech Lead,Redis,110,7,4,3,2,4,16,8,0,0,0
EMP-0797,Security,Engineer,Oracle,94,12,7,5,2,69,6,7,1,0,0
EMP-0798,Infrastructure,Developer,MongoDB,58,13,11,2,1,26,27,5,1,0,0
EMP-0799,HR,Intern,MongoDB,14,4,2,2,1,153,31,10,1,0,0
EMP-0800,Finance,Intern,PostgreSQL,141,9,8,1,0,139,3,7,1,0,0
EMP-0801,Engineering,Manager,SQL Server,10,11,9,2,2,6,17,9,1,0,0
EMP-0802,Operations,Tech Lead,Oracle,75,14,12,2,0,29,29,10,0,0,0
EMP-0803,Finance,Engineer,SQL Server,-13,12,11,1,3,40,7,9,0,0,0
EMP-0804,Infrastructure,Analyst,MySQL,54,15,8,7,0,63,39,5,1,0,0
EMP-0805,Engineering,Junior Developer,CockroachDB,61,7,7,0,1,106,14,10,1,0,0
EMP-0806,QA,Senior Developer,SQL Server,102,8,7,1,0,7,39,4,0,0,0
EMP-0807,Engineering,Senior Developer,SQL Server,120,14,12,2,2,2,8,9,1,0,0
EMP-0808,Operations,Intern,Oracle,42,6,6,0,2,62,23,3,1,0,0
EMP-0809,Finance,Developer,MariaDB,113,0,0,0,1,51,28,5,0,0,0
EMP-0810,QA,Senior Developer,Oracle,42,8,5,3,1,36,2,10,1,0,0
EMP-0811,Data Science,Manager,Redis,122,1,1,0,1,6,26,7,1,0,0
EMP-0812,Infrastructure,Engineer,MongoDB,-18,3,2,1,9,65,4,6,1,100,1
EMP-0813,HR,Junior Developer,SQL Server,141,3,2,1,1,40,17,8,1,0,0
EMP-0814,Operations,Tech Lead,Oracle,-35,2,2,0,11,23,21,2,1,100,1
EMP-0815,Finance,Intern,PostgreSQL,63,11,10,1,0,35,20,2,1,0,0
EMP-0816,Engineering,Junior Developer,MySQL,54,13,8,5,2,156,2,5,0,22.0,0
EMP-0817,Security,Manager,CockroachDB,149,13,13,0,0,28,16,9,1,0,0
EMP-0818,QA,Analyst,SQL Server,69,12,8,4,0,35,31,8,1,0,0
EMP-0819,Data Science,Developer,SQL Server,67,15,14,1,0,15,26,6,1,0,0
EMP-0820,Operations,Analyst,Redis,0,11,10,1,5,54,22,2,1,0,0
EMP-0821,HR,Junior Developer,CockroachDB,106,10,9,1,2,29,15,5,1,0,0
EMP-0822,Engineering,Analyst,MongoDB,39,8,6,2,2,17,23,2,0,0,0
EMP-0823,Operations,Junior Developer,PostgreSQL,54,7,7,0,1,139,18,5,1,0,0
EMP-0824,Security,Engineer,MySQL,40,10,10,0,2,68,15,4,1,0,0
EMP-0825,Security,Tech Lead,SQL Server,-32,13,13,0,11,12,36,3,1,99.0,1
EMP-0826,Security,Intern,PostgreSQL,57,4,3,1,2,39,12,7,1,0,0
EMP-0827,Security,Junior Developer,MariaDB,117,9,6,3,1,146,18,2,0,14.33,0
EMP-0828,Finance,Engineer,SQL Server,2,9,9,0,4,56,14,7,1,0,0
EMP-0829,Finance,Manager,MongoDB,-16,14,7,7,12,29,26,9,0,100,1
EMP-0830,Infrastructure,Senior Developer,Redis,97,11,7,4,1,8,34,2,1,0,0
EMP-0831,Finance,Senior Developer,Redis,36,11,8,3,2,31,3,5,1,0,0
EMP-0832,Finance,Analyst,CockroachDB,136,0,0,0,0,46,24,10,0,0,0
EMP-0833,Infrastructure,Manager,Redis,61,6,5,1,2,20,3,3,0,0,0
EMP-0834,Data Science,Intern,MongoDB,59,6,6,0,0,67,29,6,0,0,0
EMP-0835,Finance,Senior Developer,MariaDB,96,11,11,0,2,29,38,10,0,0,0
EMP-0836,Security,Analyst,Oracle,-3,2,1,1,12,43,37,9,0,100,1
EMP-0837,Finance,Manager,MariaDB,97,15,10,5,2,6,38,3,0,0,0
EMP-0838,Engineering,Manager,MySQL,140,13,11,2,0,4,7,10,0,0,0
EMP-0839,Security,Intern,MariaDB,114,1,1,0,1,45,15,3,1,0,0
EMP-0840,Security,Manager,SQL Server,62,9,7,2,2,6,32,10,1,0,0
EMP-0841,Security,Tech Lead,Oracle,-9,8,7,1,11,3,40,8,1,45.5,0
EMP-0842,Finance,Developer,MySQL,31,7,5,2,1,38,19,8,0,0,1
EMP-0843,Operations,Tech Lead,SQL Server,110,6,4,2,2,20,36,2,1,0,0
EMP-0844,Engineering,Intern,MongoDB,12,13,11,2,0,114,20,9,1,0,0
EMP-0845,Data Science,Analyst,MongoDB,-1,1,1,0,6,51,10,3,1,27.5,0
EMP-0846,Security,Manager,PostgreSQL,86,4,3,1,2,8,11,5,1,0,0
EMP-0847,HR,Manager,MariaDB,57,5,5,0,2,32,17,2,1,0,0
EMP-0848,Operations,Analyst,MariaDB,97,11,11,0,1,52,1,9,1,0,0
EMP-0849,Operations,Intern,Oracle,4,12,8,4,4,113,26,4,1,1.83,0
EMP-0850,QA,Engineer,MySQL,54,2,1,1,0,55,24,4,1,0,0
EMP-0851,QA,Manager,PostgreSQL,3,12,11,1,5,13,12,6,1,0,0
EMP-0852,HR,Intern,PostgreSQL,-10,8,8,0,11,148,1,9,0,74.67,1
EMP-0853,Data Science,Senior Developer,MariaDB,126,1,1,0,0,25,6,8,1,0,0
EMP-0854,HR,Junior Developer,CockroachDB,66,2,1,1,0,148,36,3,0,16.67,0
EMP-0855,QA,Senior Developer,Redis,19,15,9,6,2,34,16,2,0,17.67,0
EMP-0856,Security,Senior Developer,MySQL,56,9,9,0,0,28,32,8,1,0,0
EMP-0857,Engineering,Senior Developer,MongoDB,-33,9,7,2,10,8,17,9,0,100,1
EMP-0858,QA,Analyst,CockroachDB,143,2,1,1,0,14,10,7,0,0,0
EMP-0859,HR,Tech Lead,PostgreSQL,-7,1,1,0,7,13,37,3,1,55.17,0
EMP-0860,HR,Intern,MariaDB,30,9,5,4,1,129,32,3,1,2.5,0
EMP-0861,QA,Tech Lead,MongoDB,-39,2,1,1,8,32,23,9,1,100,1
EMP-0862,QA,Junior Developer,SQL Server,75,15,13,2,0,138,36,2,0,0,0
EMP-0863,Operations,Engineer,SQL Server,54,1,1,0,2,55,35,4,0,5.17,0
EMP-0864,Operations,Engineer,Oracle,-12,6,6,0,10,70,30,6,0,87.67,1
EMP-0865,Engineering,Engineer,MongoDB,63,14,11,3,0,51,22,4,0,0,0
EMP-0866,Operations,Intern,SQL Server,2,0,0,0,4,149,8,8,1,7.83,0
EMP-0867,Infrastructure,Engineer,MySQL,109,3,3,0,1,12,39,4,1,0,0
EMP-0868,Data Science,Intern,Redis,133,7,5,2,0,152,9,10,0,0,0
EMP-0869,Finance,Analyst,MySQL,138,3,2,1,0,20,15,4,0,0,0
EMP-0870,QA,Junior Developer,Oracle,43,1,1,0,2,118,17,9,1,0,0
EMP-0871,Engineering,Engineer,CockroachDB,135,1,1,0,2,62,24,3,1,0,0
EMP-0872,Finance,Senior Developer,MongoDB,99,9,8,1,1,21,25,2,1,0,0
EMP-0873,Operations,Tech Lead,MongoDB,55,6,5,1,2,30,37,5,0,0,0
EMP-0874,Operations,Intern,MySQL,101,5,4,1,0,163,24,8,1,0,0
EMP-0875,Finance,Engineer,MongoDB,145,1,1,0,1,21,10,9,0,0,0
EMP-0876,HR,Analyst,SQL Server,36,3,3,0,1,53,8,6,0,0,0
EMP-0877,Operations,Developer,MySQL,18,3,2,1,0,35,38,2,0,0,0
EMP-0878,Engineering,Tech Lead,CockroachDB,-20,3,2,1,9,25,33,7,1,100,1
EMP-0879,Infrastructure,Manager,PostgreSQL,36,14,7,7,0,17,7,5,1,0,0
EMP-0880,Security,Junior Developer,Redis,58,11,7,4,0,37,10,10,1,0,0
EMP-0881,Infrastructure,Tech Lead,SQL Server,56,1,1,0,2,3,36,8,1,0,0
EMP-0882,Engineering,Manager,MySQL,110,14,12,2,0,25,35,9,1,0,0
EMP-0883,QA,Tech Lead,PostgreSQL,-10,7,5,2,6,35,6,2,1,56.83,0
EMP-0884,Security,Tech Lead,MariaDB,33,12,12,0,0,28,36,6,1,0,0
EMP-0885,Data Science,Manager,CockroachDB,130,15,12,3,1,12,32,9,0,0,0
EMP-0886,Finance,Developer,Redis,99,6,5,1,0,27,38,8,1,0,0
EMP-0887,Security,Intern,MongoDB,112,15,13,2,2,74,5,6,1,0,0
EMP-0888,Operations,Developer,Redis,-5,12,12,0,10,30,8,9,1,0,0
EMP-0889,Engineering,Engineer,Redis,112,8,6,2,2,36,16,2,0,0,0
EMP-0890,Finance,Tech Lead,MySQL,83,3,3,0,0,29,2,6,0,0,0
EMP-0891,Operations,Engineer,MongoDB,148,3,2,1,0,61,32,9,1,0,0
EMP-0892,HR,Developer,MariaDB,22,7,6,1,0,12,17,8,1,0,0
EMP-0893,Finance,Developer,MongoDB,6,15,10,5,1,24,33,3,0,0,0
EMP-0894,Security,Analyst,SQL Server,142,1,1,0,2,23,28,2,0,7.83,0
EMP-0895,Infrastructure,Junior Developer,Oracle,16,1,1,0,0,87,14,3,0,0,0
EMP-0896,QA,Engineer,CockroachDB,15,6,4,2,2,52,27,6,1,0,0
EMP-0897,QA,Manager,SQL Server,-26,4,2,2,6,17,39,5,0,100,1
EMP-0898,Data Science,Senior Developer,MongoDB,12,0,0,0,0,12,38,5,1,0,0
EMP-0899,Data Science,Engineer,MySQL,-26,5,5,0,8,26,39,7,0,100,1
EMP-0900,QA,Manager,MySQL,-24,9,8,1,10,16,26,3,0,100,1
EMP-0901,Finance,Developer,Redis,144,7,6,1,0,57,13,2,0,0,0
EMP-0902,Security,Intern,CockroachDB,9,15,13,2,1,84,12,6,1,0,0
EMP-0903,Engineering,Analyst,SQL Server,110,2,1,1,1,18,11,7,0,0,0
EMP-0904,Operations,Developer,Redis,79,13,8,5,1,12,8,3,1,0,0
EMP-0905,QA,Intern,MongoDB,81,2,2,0,2,156,22,5,1,0,0
EMP-0906,Security,Developer,MongoDB,82,3,3,0,1,64,36,7,1,0,0
EMP-0907,Security,Manager,MongoDB,67,10,10,0,0,15,4,6,1,0,0
EMP-0908,Data Science,Manager,MariaDB,8,0,0,0,2,6,7,6,1,0,0
EMP-0909,Operations,Senior Developer,SQL Server,-27,13,9,4,9,31,29,8,1,100,1
EMP-0910,Engineering,Tech Lead,MariaDB,4,6,4,2,3,10,38,2,0,15.67,0
EMP-0911,Infrastructure,Manager,MongoDB,77,7,5,2,1,36,20,3,1,0,0
EMP-0912,QA,Intern,Oracle,-18,2,2,0,5,93,13,7,0,93.5,1
EMP-0913,Infrastructure,Developer,MySQL,-32,4,3,1,9,65,2,6,1,100,1
EMP-0914,QA,Developer,CockroachDB,-7,0,0,0,9,26,4,7,0,94.33,1
EMP-0915,Operations,Senior Developer,PostgreSQL,131,1,1,0,0,28,27,3,1,0,0
EMP-0916,Engineering,Senior Developer,Redis,91,4,4,0,2,5,37,2,0,0,1
EMP-0917,Finance,Manager,MySQL,75,12,8,4,0,8,20,8,0,0,0
EMP-0918,Operations,Tech Lead,Redis,148,13,12,1,0,31,36,3,0,0,0
EMP-0919,Finance,Developer,PostgreSQL,41,14,14,0,1,12,9,9,1,0,0
EMP-0920,Engineering,Manager,CockroachDB,-38,0,0,0,3,28,8,3,1,100,1
EMP-0921,Data Science,Senior Developer,Oracle,19,8,5,3,2,34,1,9,0,0,0
EMP-0922,QA,Junior Developer,PostgreSQL,50,3,2,1,2,36,3,8,0,0,0
EMP-0923,Security,Senior Developer,MariaDB,138,11,7,4,0,20,40,10,0,0,0
EMP-0924,Finance,Tech Lead,Redis,42,4,3,1,0,29,3,6,1,0,0
EMP-0925,Data Science,Engineer,MariaDB,33,2,1,1,2,52,17,6,0,8.67,0
EMP-0926,QA,Junior Developer,MongoDB,68,8,5,3,0,104,40,7,0,0,0
EMP-0927,HR,Manager,MySQL,144,7,7,0,2,16,14,8,1,0,0
EMP-0928,Operations,Senior Developer,MariaDB,-33,1,1,0,9,8,27,7,0,100,1
EMP-0929,Engineering,Developer,PostgreSQL,53,15,9,6,1,54,9,6,1,0,0
EMP-0930,Data Science,Engineer,Redis,72,11,10,1,1,12,31,8,0,0,0
EMP-0931,Finance,Intern,Redis,76,6,4,2,0,128,21,9,1,0,0
EMP-0932,Data Science,Intern,CockroachDB,9,3,3,0,1,106,10,7,1,0,0
EMP-0933,Finance,Tech Lead,PostgreSQL,77,8,7,1,0,11,25,5,0,0,0
EMP-0934,Engineering,Developer,Oracle,-31,9,7,2,6,60,33,2,1,100,1
EMP-0935,HR,Manager,CockroachDB,-13,9,6,3,9,27,18,10,1,69.5,1
EMP-0936,Data Science,Analyst,MariaDB,34,0,0,0,2,49,18,6,1,0,0
EMP-0937,Operations,Developer,Oracle,37,5,3,2,2,56,31,2,1,0,0
EMP-0938,QA,Senior Developer,SQL Server,-6,3,2,1,10,21,27,9,1,62.5,1
EMP-0939,Security,Tech Lead,PostgreSQL,-16,4,4,0,3,22,4,6,0,41.67,0
EMP-0940,Operations,Engineer,MongoDB,117,9,6,3,2,20,40,3,0,0,0
EMP-0941,QA,Developer,SQL Server,-18,12,10,2,9,19,8,9,1,48.17,0
EMP-0942,Engineering,Junior Developer,Redis,62,5,5,0,1,115,38,3,1,0,0
EMP-0943,Data Science,Engineer,CockroachDB,54,10,6,4,0,59,16,6,1,0,0
EMP-0944,Data Science,Developer,Redis,112,2,2,0,1,72,15,9,0,0,0
EMP-0945,Engineering,Junior Developer,SQL Server,30,11,10,1,1,55,40,7,1,0,0
EMP-0946,Finance,Engineer,MongoDB,94,5,5,0,1,54,38,4,1,0,0
EMP-0947,QA,Intern,PostgreSQL,-25,1,1,0,5,34,5,6,0,100,1
EMP-0948,Security,Tech Lead,Redis,-1,3,3,0,8,28,23,6,1,15.67,0
EMP-0949,Finance,Senior Developer,SQL Server,-34,7,7,0,11,8,34,2,1,100,0
EMP-0950,Engineering,Engineer,PostgreSQL,135,12,8,4,1,39,5,6,1,0,0
EMP-0951,Data Science,Intern,MongoDB,11,9,7,2,2,136,38,3,1,0,0
EMP-0952,Data Science,Junior Developer,MongoDB,103,0,0,0,0,59,1,5,0,0,0
EMP-0953,Finance,Tech Lead,MariaDB,-39,15,10,5,11,15,3,6,0,100,1
EMP-0954,HR,Junior Developer,MySQL,9,12,9,3,2,125,27,7,1,0,0
EMP-0955,Infrastructure,Junior Developer,Oracle,-18,7,4,3,12,68,3,10,1,100,1
EMP-0956,Engineering,Developer,MongoDB,125,4,4,0,2,36,12,6,0,0,0
EMP-0957,Engineering,Developer,MongoDB,99,1,1,0,0,48,35,3,1,0,0
EMP-0958,HR,Tech Lead,MySQL,132,2,1,1,0,15,35,9,1,0,0
EMP-0959,Operations,Tech Lead,PostgreSQL,-15,7,4,3,8,3,27,10,1,79.5,1
EMP-0960,Operations,Tech Lead,MariaDB,-10,9,8,1,3,9,9,8,1,0,0
EMP-0961,QA,Intern,Redis,14,1,1,0,1,147,22,6,1,0,0
EMP-0962,Data Science,Senior Developer,MariaDB,85,10,7,3,0,36,35,3,1,0,0
EMP-0963,Engineering,Manager,SQL Server,-7,4,3,1,10,1,27,2,1,83.17,1
EMP-0964,QA,Engineer,Redis,134,11,6,5,1,24,10,4,0,10.0,0
EMP-0965,Engineering,Manager,SQL Server,99,10,5,5,2,30,33,9,1,0,0
EMP-0966,Infrastructure,Analyst,Redis,121,3,3,0,2,56,10,5,0,0,0
EMP-0967,Security,Manager,MySQL,60,6,4,2,2,13,38,4,0,0,0
EMP-0968,QA,Engineer,PostgreSQL,98,5,3,2,0,67,11,8,0,0,0
EMP-0969,Engineering,Engineer,PostgreSQL,-14,15,9,6,5,17,2,6,0,84.83,1
EMP-0970,Engineering,Tech Lead,SQL Server,10,1,1,0,2,17,22,9,1,0,0
EMP-0971,Finance,Manager,CockroachDB,51,14,7,7,2,20,27,4,1,10.33,0
EMP-0972,HR,Junior Developer,MySQL,29,3,2,1,2,108,15,3,0,22.0,0
EMP-0973,Data Science,Analyst,SQL Server,107,1,1,0,2,18,2,9,1,0,0
EMP-0974,Engineering,Analyst,MariaDB,139,12,7,5,2,35,28,8,1,0,0
EMP-0975,Finance,Manager,Redis,51,14,8,6,1,31,10,8,0,0,0
EMP-0976,HR,Tech Lead,MySQL,-36,4,3,1,5,9,26,9,1,100,1
EMP-0977,Data Science,Tech Lead,MongoDB,53,2,2,0,1,26,13,9,0,0,0
EMP-0978,Data Science,Junior Developer,MongoDB,28,3,2,1,1,96,13,9,0,0,0
EMP-0979,HR,Manager,Oracle,-21,13,13,0,6,14,27,10,0,2.33,0
EMP-0980,Finance,Engineer,SQL Server,24,5,5,0,0,30,21,5,1,0,0
EMP-0981,Security,Analyst,PostgreSQL,115,1,1,0,1,63,3,3,0,0.5,0
EMP-0982,QA,Engineer,PostgreSQL,140,13,13,0,2,18,18,8,0,0,0
EMP-0983,HR,Senior Developer,SQL Server,122,15,10,5,2,12,33,9,1,0,0
EMP-0984,Security,Developer,SQL Server,49,3,2,1,0,48,28,9,1,0,0
EMP-0985,HR,Intern,Oracle,-1,1,1,0,6,66,32,5,1,22.0,0
EMP-0986,Infrastructure,Tech Lead,PostgreSQL,41,11,7,4,0,14,14,8,0,0,0
EMP-0987,Infrastructure,Senior Developer,MariaDB,-40,5,4,1,3,18,20,5,0,100,1
EMP-0988,Data Science,Senior Developer,MySQL,123,13,8,5,2,10,39,5,1,0,0
EMP-0989,QA,Senior Developer,Redis,105,9,7,2,1,25,33,3,1,0,0
EMP-0990,HR,Intern,MariaDB,97,7,6,1,0,121,29,8,1,0,0
EMP-0991,HR,Engineer,Oracle,52,4,2,2,1,71,9,5,1,0,0
EMP-0992,Engineering,Intern,Oracle,96,6,5,1,0,135,13,8,1,0,0
EMP-0993,Data Science,Senior Developer,MariaDB,-20,10,7,3,11,9,39,3,0,100,1
EMP-0994,QA,Junior Developer,MongoDB,107,15,12,3,0,127,29,8,0,0,0
EMP-0995,Finance,Developer,PostgreSQL,35,13,9,4,2,21,10,5,1,0,0
EMP-0996,HR,Tech Lead,PostgreSQL,50,2,2,0,0,14,31,10,1,0,0
EMP-0997,Finance,Senior Developer,MariaDB,-5,4,4,0,5,2,11,5,0,18.33,0
EMP-0998,Data Science,Developer,PostgreSQL,141,4,2,2,2,41,11,4,1,0,0
EMP-0999,Data Science,Engineer,SQL Server,81,11,6,5,0,19,3,7,1,0,0
EMP-1000,HR,Developer,MongoDB,129,14,14,0,0,72,22,3,1,0,0
EMP-1001,Data Science,Senior Developer,Redis,8,14,10,4,1,27,6,5,0,0,0
EMP-1002,QA,Tech Lead,MongoDB,129,8,6,2,1,15,2,4,0,0,0
EMP-1003,QA,Tech Lead,Oracle,38,6,4,2,1,24,31,2,1,0,0
EMP-1004,Infrastructure,Developer,MySQL,67,0,0,0,1,15,28,3,1,0,0
EMP-1005,Engineering,Tech Lead,MySQL,35,2,1,1,0,5,34,2,1,0,0
EMP-1006,Infrastructure,Manager,MariaDB,29,6,5,1,2,10,39,4,1,0,0
EMP-1007,Security,Analyst,PostgreSQL,-16,2,1,1,11,17,15,7,1,100,1
EMP-1008,Operations,Analyst,MariaDB,89,15,9,6,0,30,23,10,1,0,0
EMP-1009,Infrastructure,Tech Lead,MySQL,100,12,9,3,2,14,7,8,0,0,0
EMP-1010,Data Science,Manager,Redis,100,11,10,1,1,13,15,5,1,0,0
EMP-1011,Infrastructure,Tech Lead,MariaDB,16,1,1,0,1,23,36,6,0,0,0
EMP-1012,Security,Tech Lead,PostgreSQL,2,13,11,2,5,2,29,8,1,0,0
EMP-1013,Engineering,Junior Developer,Oracle,25,9,7,2,0,105,30,6,0,0,0
EMP-1014,Engineering,Senior Developer,MySQL,1,9,8,1,5,24,40,4,1,0,0
EMP-1015,Security,Intern,MySQL,-28,7,4,3,6,120,40,8,0,100,1
EMP-1016,Engineering,Manager,MariaDB,59,10,9,1,1,32,11,10,1,0,0
EMP-1017,Operations,Analyst,SQL Server,-2,2,2,0,5,36,5,7,0,20.0,0
EMP-1018,Data Science,Manager,MariaDB,-11,8,6,2,7,22,22,10,1,28.67,0
EMP-1019,Infrastructure,Senior Developer,SQL Server,121,12,9,3,0,34,20,8,1,0,0
EMP-1020,Infrastructure,Developer,Redis,16,2,1,1,2,54,5,9,0,0,0
EMP-1021,QA,Analyst,MySQL,40,9,6,3,2,43,5,9,0,0,0
EMP-1022,Engineering,Analyst,MySQL,22,14,8,6,2,30,5,2,0,25.0,0
EMP-1023,QA,Tech Lead,SQL Server,86,3,3,0,2,12,28,3,1,0,0
EMP-1024,QA,Manager,SQL Server,15,4,2,2,1,35,13,8,0,0,0
EMP-1025,Engineering,Junior Developer,PostgreSQL,86,10,6,4,2,62,39,7,1,0,0
EMP-1026,Engineering,Engineer,Redis,91,7,4,3,2,43,8,5,0,11.17,0
EMP-1027,Operations,Manager,MongoDB,129,12,9,3,2,19,23,10,0,0,0
EMP-1028,Infrastructure,Junior Developer,PostgreSQL,103,0,0,0,0,106,34,6,1,0,0
EMP-1029,Finance,Tech Lead,Oracle,118,8,6,2,1,12,31,5,1,0,0
EMP-1030,Finance,Analyst,Redis,76,2,1,1,0,46,5,8,0,0,0
